employee_id,department,position,hire_date,productivity_score,quality_score,attendance_rate,teamwork_score,initiative_score,communication_score,problem_solving_score,adaptability_score,leadership_score,projects_completed,training_hours,overtime_hours,client_satisfaction,tenure_months,overall_performance_score,performance_grade
EMP0001,Marketing,Marketing Specialist,2022-03-01,83.99095300114509,74.45912489983459,95.17431231342407,85.81067360251515,96.62674050223234,65.23849311130688,100.0,90.15303322654927,61.488837094010805,8,41.681000866918225,20.593318054198658,86.75133116003207,40,82.22098192969926,B
EMP0002,Marketing,CMO,2023-05-09,89.50218826099054,94.71829178148826,80.40400108961677,82.38752447102834,83.90373849692645,79.75531482726424,91.54678691928844,64.5461191857148,90.04849781470475,5,49.5503440995563,9.595272594945163,82.77265201862615,26,84.55105771967574,B
EMP0003,Marketing,Marketing Manager,2021-05-15,83.37354430216774,79.50701146222983,100.0,68.17580721063874,54.135732357325736,61.52650922037559,51.322413653261975,82.1278814074092,79.98589012299448,7,53.324640176856946,9.616567068592216,98.44016286610481,50,70.0193487170504,C
EMP0004,Product Management,Product Manager,2022-07-30,70.3682571822313,75.27471378886122,100.0,95.25499607107231,78.01067966141706,70.5340593340291,75.66637143774692,91.48633886840696,68.42155024741893,7,16.89897533193592,2.517500874757817,86.59267067404666,35,78.12712082389798,C
EMP0005,Marketing,CMO,2020-12-22,71.19367348909776,86.28881650420223,86.19094011465342,100.0,89.71156796876754,88.96690135177055,63.996155041241295,62.81374101478606,85.66255639904688,7,27.967067492045345,12.189225439481937,78.53275414430846,55,81.07917647111404,B
EMP0006,HR,HR Director,2023-07-02,66.57108678136476,80.55779018123039,90.65060375841416,85.34845376008434,73.55488638528043,41.16827513826074,91.06313022886492,75.79982322510467,72.00926378675895,10,30.8738523842828,14.836711718411655,68.76352423500236,24,73.25908868586866,C
EMP0007,Marketing,CMO,2024-06-28,73.86653311021745,75.91350132763509,93.94378177235993,73.03905873156492,75.46590482060827,90.61431861444305,77.28194178700886,66.94255275253988,73.73451907937961,7,17.845972166904208,30.221015147189707,92.50444360247586,12,75.85729127792465,C
EMP0008,HR,HR Manager,2022-07-29,61.25494621611285,77.23651984381584,96.9350996060363,85.67240776882414,71.44522658860227,79.00996135534704,38.6246586663849,96.28227553685535,86.73742876397054,7,65.75463158414752,26.41762134450808,88.16859493614409,35,74.53292809248912,C
EMP0009,Engineering,Architect,2022-01-04,50.317283513677936,64.33221259286236,96.83267447162811,63.872074544312255,40.58771502299871,49.958211165535815,82.7817055486123,64.04440086809726,47.94079340640202,8,54.75782090771062,24.965305773968073,91.73679551479773,42,57.97929958281233,F
EMP0010,Marketing,CMO,2022-07-07,95.9755110678267,89.55366090043911,88.7236257583075,72.41474334628433,63.328126003261445,60.108104801505334,85.12301275717047,72.95833907792303,53.71940563103109,5,34.966037823608225,2.9572259440699273,93.94623469835615,36,74.1476129481802,C
EMP0011,Product Management,Senior PM,2021-06-02,63.85284460692695,80.52118812197571,100.0,76.37145526098726,87.48536594377182,64.51079795264609,92.26618521064142,79.18153167153059,66.85319576834698,9,37.33322244468006,0.3358166409124449,92.1228177868415,50,76.38032056710335,C
EMP0012,Customer Support,Support Manager,2021-07-03,77.58308399695464,81.38842279502737,100.0,100.0,34.02369960989188,88.55204929086051,47.00765559158567,84.20188010459725,41.56637236187187,6,13.945045599883443,12.254040905067187,89.63709294241644,49,69.29039546884864,D
EMP0013,Sales,VP Sales,2023-09-24,67.47092375900928,70.63108021278389,97.4388376587136,48.38111126679329,93.49260147296303,62.07864716091626,55.33386813658227,81.01133483604632,70.19911560821411,3,57.04619199653996,10.966095960593211,91.28609165646648,21,68.57483530666356,D
EMP0014,Engineering,Software Engineer,2024-11-23,57.63729118855277,75.16927925056294,86.05484817997835,80.33965026967012,38.33723771669167,60.08682856437586,100.0,56.7864381177471,55.167360340042734,5,52.46443399808974,27.60194015168045,79.90749130107835,7,65.4405106809554,D
EMP0015,HR,HR Manager,2020-10-24,74.3628681419063,92.36920908066145,85.19919795155327,72.19814138141531,37.98390502257183,75.41339722255307,70.27147023885125,95.92822399917955,74.9861302624529,6,35.631757414737336,6.774671516993738,99.2118290543034,57,74.18916816869896,C
EMP0016,Operations,Process Analyst,2021-10-10,56.1052293962098,65.39404689241643,84.22470617363805,51.83013894903291,67.86624486339886,84.89095800605419,82.91352112537857,80.83026791578965,72.74784821307854,10,46.177960996813226,6.084118526079126,84.86472541378828,45,70.32228192016987,C
EMP0017,Marketing,Marketing Manager,2024-02-21,70.69056543709445,86.72518058656952,75.37757171275646,69.57032588479197,47.006660779173615,80.62341700542328,77.06727383091717,73.82628920566576,56.62741356518589,8,32.46750928698637,8.700936314876154,72.55643071624884,16,70.2671407868527,C
EMP0018,Marketing,Marketing Manager,2021-02-24,68.47079464357705,82.57027563396329,100.0,89.7168829108395,85.12977985844378,50.502035461739524,78.40939851587882,63.124363246277646,100.0,11,23.179674175139954,14.215665990453987,91.21911955994595,53,77.24044128383996,C
EMP0019,Marketing,Brand Manager,2022-05-23,58.31281295315579,77.78605361931275,91.49159448994149,93.18587957348541,91.82272659555503,80.97165529573327,86.1755756648287,80.97553921901383,68.5824300787382,15,32.12546259808852,11.670275143373514,88.57009998863981,38,79.72658412497788,C
