employee_id,department,goal_id,goal_type,goal_description,target_value,current_value,achievement_rate,deadline,status
EMP0001,Marketing,GOAL_EMP0001_1,Leadership Development,Improve leadership development by achieving 80% target,80,56,70.0,2025-09-22,In Progress
EMP0001,Marketing,GOAL_EMP0001_2,Project Completion,Improve project completion by achieving 71% target,71,65,91.54929577464789,2025-11-20,In Progress
EMP0001,Marketing,GOAL_EMP0001_3,Process Optimization,Improve process optimization by achieving 88% target,88,82,93.18181818181817,2025-08-11,In Progress
EMP0002,Marketing,GOAL_EMP0002_1,Client Satisfaction,Improve client satisfaction by achieving 84% target,84,68,80.95238095238095,2025-11-05,In Progress
EMP0002,Marketing,GOAL_EMP0002_2,Client Satisfaction,Improve client satisfaction by achieving 71% target,71,70,98.59154929577466,2026-01-01,In Progress
EMP0002,Marketing,GOAL_EMP0002_3,Project Completion,Improve project completion by achieving 70% target,70,61,87.14285714285714,2025-09-05,In Progress
EMP0003,Marketing,GOAL_EMP0003_1,Leadership Development,Improve leadership development by achieving 85% target,85,88,100.0,2025-11-27,Completed
EMP0003,Marketing,GOAL_EMP0003_2,Client Satisfaction,Improve client satisfaction by achieving 73% target,73,74,100.0,2025-10-23,Completed
EMP0003,Marketing,GOAL_EMP0003_3,Skill Development,Improve skill development by achieving 73% target,73,52,71.23287671232876,2025-09-27,In Progress
EMP0003,Marketing,GOAL_EMP0003_4,Process Optimization,Improve process optimization by achieving 70% target,70,60,85.71428571428571,2025-10-02,In Progress
EMP0004,Product Management,GOAL_EMP0004_1,Leadership Development,Improve leadership development by achieving 91% target,91,96,100.0,2025-10-31,Completed
EMP0004,Product Management,GOAL_EMP0004_2,Project Completion,Improve project completion by achieving 87% target,87,72,82.75862068965517,2025-11-04,In Progress
EMP0004,Product Management,GOAL_EMP0004_3,Process Optimization,Improve process optimization by achieving 72% target,72,76,100.0,2025-10-27,Completed
EMP0004,Product Management,GOAL_EMP0004_4,Client Satisfaction,Improve client satisfaction by achieving 83% target,83,53,63.85542168674698,2025-08-30,In Progress
EMP0004,Product Management,GOAL_EMP0004_5,Leadership Development,Improve leadership development by achieving 74% target,74,61,82.43243243243244,2025-11-12,In Progress
EMP0005,Marketing,GOAL_EMP0005_1,Project Completion,Improve project completion by achieving 92% target,92,94,100.0,2025-11-30,Completed
EMP0005,Marketing,GOAL_EMP0005_2,Process Optimization,Improve process optimization by achieving 94% target,94,59,62.76595744680851,2025-09-22,In Progress
EMP0005,Marketing,GOAL_EMP0005_3,Leadership Development,Improve leadership development by achieving 95% target,95,104,100.0,2025-08-13,Completed
EMP0005,Marketing,GOAL_EMP0005_4,Performance Improvement,Improve performance improvement by achieving 70% target,70,61,87.14285714285714,2025-11-27,In Progress
EMP0006,HR,GOAL_EMP0006_1,Process Optimization,Improve process optimization by achieving 88% target,88,88,100.0,2025-09-03,Completed
EMP0006,HR,GOAL_EMP0006_2,Performance Improvement,Improve performance improvement by achieving 87% target,87,88,100.0,2025-08-24,Completed
EMP0006,HR,GOAL_EMP0006_3,Project Completion,Improve project completion by achieving 92% target,92,75,81.52173913043478,2025-12-25,In Progress
EMP0006,HR,GOAL_EMP0006_4,Project Completion,Improve project completion by achieving 72% target,72,81,100.0,2025-09-25,Completed
EMP0006,HR,GOAL_EMP0006_5,Process Optimization,Improve process optimization by achieving 95% target,95,80,84.21052631578947,2025-11-21,In Progress
EMP0007,Marketing,GOAL_EMP0007_1,Client Satisfaction,Improve client satisfaction by achieving 77% target,77,71,92.20779220779221,2025-09-07,In Progress
EMP0007,Marketing,GOAL_EMP0007_2,Leadership Development,Improve leadership development by achieving 90% target,90,82,91.11111111111111,2025-09-13,In Progress
EMP0007,Marketing,GOAL_EMP0007_3,Project Completion,Improve project completion by achieving 86% target,86,76,88.37209302325581,2025-12-29,In Progress
EMP0007,Marketing,GOAL_EMP0007_4,Leadership Development,Improve leadership development by achieving 83% target,83,66,79.51807228915662,2025-12-28,In Progress
EMP0008,HR,GOAL_EMP0008_1,Project Completion,Improve project completion by achieving 75% target,75,52,69.33333333333334,2025-08-27,In Progress
EMP0008,HR,GOAL_EMP0008_2,Leadership Development,Improve leadership development by achieving 86% target,86,55,63.95348837209303,2025-10-18,In Progress
EMP0008,HR,GOAL_EMP0008_3,Leadership Development,Improve leadership development by achieving 89% target,89,86,96.62921348314607,2025-10-11,In Progress
EMP0008,HR,GOAL_EMP0008_4,Performance Improvement,Improve performance improvement by achieving 81% target,81,79,97.53086419753086,2025-09-27,In Progress
EMP0008,HR,GOAL_EMP0008_5,Process Optimization,Improve process optimization by achieving 93% target,93,75,80.64516129032258,2025-12-21,In Progress
EMP0009,Engineering,GOAL_EMP0009_1,Leadership Development,Improve leadership development by achieving 80% target,80,54,67.5,2025-09-12,In Progress
EMP0009,Engineering,GOAL_EMP0009_2,Leadership Development,Improve leadership development by achieving 79% target,79,61,77.21518987341773,2025-09-24,In Progress
EMP0009,Engineering,GOAL_EMP0009_3,Project Completion,Improve project completion by achieving 89% target,89,85,95.50561797752809,2025-10-06,In Progress
EMP0010,Marketing,GOAL_EMP0010_1,Leadership Development,Improve leadership development by achieving 77% target,77,76,98.7012987012987,2025-10-07,In Progress
EMP0010,Marketing,GOAL_EMP0010_2,Leadership Development,Improve leadership development by achieving 71% target,71,50,70.4225352112676,2025-09-01,In Progress
EMP0010,Marketing,GOAL_EMP0010_3,Leadership Development,Improve leadership development by achieving 92% target,92,100,100.0,2025-12-14,Completed
EMP0010,Marketing,GOAL_EMP0010_4,Project Completion,Improve project completion by achieving 88% target,88,77,87.5,2025-12-25,In Progress
EMP0011,Product Management,GOAL_EMP0011_1,Skill Development,Improve skill development by achieving 88% target,88,84,95.45454545454545,2025-12-01,In Progress
EMP0011,Product Management,GOAL_EMP0011_2,Client Satisfaction,Improve client satisfaction by achieving 73% target,73,74,100.0,2025-10-04,Completed
EMP0011,Product Management,GOAL_EMP0011_3,Process Optimization,Improve process optimization by achieving 95% target,95,77,81.05263157894737,2025-11-05,In Progress
EMP0011,Product Management,GOAL_EMP0011_4,Leadership Development,Improve leadership development by achieving 72% target,72,72,100.0,2025-10-14,Completed
EMP0012,Customer Support,GOAL_EMP0012_1,Project Completion,Improve project completion by achieving 95% target,95,53,55.78947368421052,2025-10-23,In Progress
EMP0012,Customer Support,GOAL_EMP0012_2,Leadership Development,Improve leadership development by achieving 94% target,94,62,65.95744680851064,2025-11-05,In Progress
EMP0012,Customer Support,GOAL_EMP0012_3,Process Optimization,Improve process optimization by achieving 75% target,75,78,100.0,2026-01-06,Completed
EMP0012,Customer Support,GOAL_EMP0012_4,Process Optimization,Improve process optimization by achieving 74% target,74,63,85.13513513513513,2025-09-13,In Progress
EMP0012,Customer Support,GOAL_EMP0012_5,Project Completion,Improve project completion by achieving 93% target,93,72,77.41935483870968,2025-12-10,In Progress
EMP0013,Sales,GOAL_EMP0013_1,Process Optimization,Improve process optimization by achieving 72% target,72,81,100.0,2025-10-18,Completed
EMP0013,Sales,GOAL_EMP0013_2,Project Completion,Improve project completion by achieving 75% target,75,62,82.66666666666667,2025-09-04,In Progress
EMP0013,Sales,GOAL_EMP0013_3,Project Completion,Improve project completion by achieving 91% target,91,51,56.043956043956044,2025-09-28,In Progress
